content,group
我快被这群听不懂人话的小屁孩气死了！,Group_Child
一个自制力不行的小屁孩，还能监督别人？,Group_Child
吵死了，烦人的小屁孩！,Group_Child
那个小屁孩一被说就不好好穿鞋，开始胡闹。,Group_Child
把小屁孩扔给外婆，我要大睡三天！,Group_Child
也许孩子天生就是叛逆的。,Group_Child
你这个小屁孩有三岁吗？,Group_Child
他失眠、厌学、叛逆、还有强迫和恐惧。,Group_Child
降噪耳机都压不住小屁孩的尖叫声。,Group_Child
现在的小屁孩就只配用小灵通，别上网了。,Group_Child
我压根不想理那个小屁孩。,Group_Child
真是赢不了，连个小屁孩都打不过。,Group_Child
我这辈子不想再去机构教第二次小屁孩了。,Group_Child
他就是那个以能哄住所有熊孩子而闻名的医生。,Group_Child
它越是疯狂刷存在感，就越像叛逆期的你。,Group_Child
你个小屁孩还想要我当你老婆？,Group_Child
跟小屁孩吵架是真累。,Group_Child
我哥四十岁都比你们这群小屁孩长得周正！,Group_Child
小屁孩的世界，谁能懂啊？,Group_Child
怪不得小屁孩连烧三天才退烧，这病毒真狠。,Group_Child
你这个贱兮兮的死小屁孩，能不能离我远点？,Group_Child
那个小屁孩真搞笑。,Group_Child
这小屁孩怎么还争宠啊？,Group_Child
他从小就脾气不好特别叛逆。,Group_Child
那个小屁孩，刚刚才喝完奶。,Group_Child
他大概就是个小屁孩吧。,Group_Child
我讨厌在地铁上大喊大叫的小屁孩。,Group_Child
我真是到叛逆期了，老师让我干什么我就越不想干。,Group_Child
我对他的印象一直是一个小屁孩。,Group_Child
虽然他二十岁了，但还是那个被爸妈丢在客厅的无聊小屁孩。,Group_Child
每协助一次研学课，我都会想给那群小屁孩一人一巴掌。,Group_Child
实际上，她是个放肆的叛逆少女。,Group_Child
现在的小孩真是叛逆死了。,Group_Child
这个小屁孩要小心点。,Group_Child
叛逆的女儿和妥协的爹。,Group_Child
我下班回家的时间全被小屁孩占了。,Group_Child
那个鬼火少年和他后座那个叛逆的妞。,Group_Child
那个五点多就起来嗨的小屁孩。,Group_Child
我真的受不了了，小屁孩嚎什么嚎，家长能不能管管！,Group_Child
那个小屁孩天天晚上和我抢被子！,Group_Child
那个小屁孩为什么突然对老婆咬牙切齿？,Group_Child
他刚开始真是个讨厌的小屁孩，不让他学武就闹腾。,Group_Child
他在叛逆期把叛逆的事全做完了，成年后比谁都老实。,Group_Child
我是上辈子犯了什么罪，坐车总有小屁孩坐旁边。,Group_Child
真是个好拽的小屁孩。,Group_Child
我下意识觉得他们都是一群刚成年的小屁孩。,Group_Child
又是什么幼稚的小屁孩游戏？,Group_Child
叛逆期的他，出门前会偷偷戴上耳夹再用口罩掩饰。,Group_Child
他们还只是一群小屁孩。,Group_Child
当时那两个小屁孩是怎么做出攻略并执行的？,Group_Child
里面的小屁孩演得都比那些流量小生好多了。,Group_Child
你这个小屁孩想干嘛？,Group_Child
我已经到了会被路边的小屁孩叫阿姨的年纪了。,Group_Child
那个小屁孩装逼的样子很搞笑。,Group_Child
小屁孩都给我滚！,Group_Child
到处都是咳嗽的小屁孩，真是躲都躲不掉。,Group_Child
一个04年的小屁孩居然已经要结婚办酒了。,Group_Child
广场上有一群小屁孩，真让人无语。,Group_Child
小屁孩就是这样的。,Group_Child
学生也会叛逆。,Group_Child
他还在叛逆期，我真是受不了了。,Group_Child
不听话的小屁孩都会被老巫婆抓走！,Group_Child
这样一看，他完全就是个小屁孩嘛！,Group_Child
一个小屁孩因为和她妈闹矛盾，一直卡在电梯门口不走。,Group_Child
他说话的样子，就像个装大人的小屁孩。,Group_Child
他在我眼里，还是个小屁孩。,Group_Child
现在看那些上初中的孩子，纯粹就是一群小屁孩。,Group_Child
小屁孩都死绝了才好，见一个想扇一个。,Group_Child
那个小屁孩就是想吸引大人的注意。,Group_Child
我好讨厌小屁孩。,Group_Child
小屁孩在走廊里疯跑，吵得人脑瓜子嗡嗡的。,Group_Child
她们都是休学去生孩子，然后拖着个小屁孩读博士。,Group_Child
你个小屁孩，把手从你媳妇的胳肢窝里拿出来！,Group_Child
高铁邻座是个爱吵闹的小屁孩。,Group_Child
团里的几个小屁孩在湖边疯跑，结果晚上都高反了。,Group_Child
我对乳臭未干的小屁孩提不起半点兴趣。,Group_Child
他那时就是个纯粹的小屁孩，硬装样子上了台。,Group_Child
给小屁孩买了电话手表后，他天天发长语音轰炸我，我快没耐心了。,Group_Child
那群小屁孩不配用我的东西，会把我的东西搞坏。,Group_Child
小屁孩这种恶心的物种，真想把他们生吞活剥了。,Group_Child
她越来越叛逆，怎么才能让这个逆女温顺一点呢？,Group_Child
看见一堆小屁孩在电影院门口，我就觉得大事不妙。,Group_Child
他真像个小屁孩，什么都藏不住，问啥答啥。,Group_Child
两岁半，孩子的第一个叛逆期就来了，真难搞。,Group_Child
一个十六岁毛都没长齐的小屁孩能有多大魅力？,Group_Child
他是个叛逆的高中生。,Group_Child
我居然讲不过一个小屁孩！,Group_Child
他开了个新账号，就跟小屁孩拿到新玩具一样幼稚。,Group_Child
我居然骑不过一个小屁孩。,Group_Child
小屁孩的脚真厉害，我长这么大袜子都没穿成这样过。,Group_Child
一个小屁孩怎么可以这样？,Group_Child
一个十七岁的小登，在语文和数学之间选择了过儿童节。,Group_Child
我受不了了，一个小屁孩天天在这聊公司社会。,Group_Child
原来他也曾有过这么叛逆的时期，离家出走三个月。,Group_Child
熊孩子是这个时代最无赖的生物之一。,Group_Child
正在经历青春叛逆期的高中生，自己也很痛苦迷茫。,Group_Child
酒吧里全是小屁孩，我们几个老年人感到很无语。,Group_Child
我气死了，居然被一个小屁孩叫阿姨。,Group_Child
那个叛逆少年又在乱刷短视频了，我让他别再被洗脑了。,Group_Child
你这个小屁孩，怎么还骂人呢？,Group_Child
那个熊孩子今天不想去打球，就想请假。,Group_Child
一个05后的小屁孩居然说自己有年龄焦虑了。,Group_Child
看着这两个小屁孩，我真是骂都骂不出口。,Group_Child
看到他这一本正经的回答，果然还是个小屁孩。,Group_Child
以后她会有些叛逆，你现在若不愿倾听，就晚了。,Group_Child
某个小孩进入四岁叛逆期了，气死我了。,Group_Child
他真的好幼稚，到底谁才是小屁孩啊？,Group_Child
真无法想象孩子到了叛逆期会怎么样。,Group_Child
那个小屁孩给我添堵，真让我无语。,Group_Child
叛逆期的弟弟真是贱得要死，像个神经病。,Group_Child
控制不好情绪的人就像随时会尿裤子的小屁孩。,Group_Child
那几个熊孩子在公共场合叽叽喳喳吵个不停。,Group_Child
这是二十出头的小屁孩才做的事。,Group_Child
熊孩子踹到了我书包。,Group_Child
小孩最近有点叛逆，总是不听话，一句话要说好多遍才听。,Group_Child
他已经是个会拍马屁的小屁孩。,Group_Child
我服了，楼上的小孩大概是到叛逆期了。,Group_Child
我还跟个小屁孩一样，这正常吗？,Group_Child
这小屁孩怎么这么蠢？,Group_Child
他已经不是那个在舞房里乱跳的小屁孩了。,Group_Child
一群20岁不到的小屁孩，能披什么荆斩什么棘？,Group_Child
这剧真难看，拍那么多小屁孩干嘛？,Group_Child
是谁把小屁孩放进大学来的？,Group_Child
一群小屁孩吵得我想死。,Group_Child
刚到叛逆期的堂弟来求我，让我帮他要出国的钱。,Group_Child
这是谁家的小屁孩？,Group_Child
我怎么这么讨厌小屁孩？,Group_Child
在他面前，我像个顽劣的小屁孩。,Group_Child
被几个小屁孩吵了一路，真是令人绝望。,Group_Child
现在的小屁孩需要的东西真多，觉得妈妈的钱好骗是吧？,Group_Child
你们一群小屁孩用过的东西，让我怎么用？,Group_Child
这个年纪的孩子真的有叛逆期吗？,Group_Child
除了粉丝，没人想看一个小屁孩上节目。,Group_Child
大闹一场后，就变成了叛逆期小鬼大战监护人。,Group_Child
刚面试了个小屁孩，课都讲不明白，还想来应聘老师。,Group_Child
这个小屁孩小小年纪就知道看人下菜碟了。,Group_Child
他小小年纪就有叛逆心理了。,Group_Child
能在这个年纪做出这么任性的决定，正好对应我迟来的青春叛逆期。,Group_Child
早上四点，一个小屁孩在火车上大声吵闹，让人没法睡觉。,Group_Child
有一次，叛逆的弟弟跟我妈吵架，我出手管了他。,Group_Child
这种小屁孩根本不会引起我的注意。,Group_Child
我不会原谅那个在飞机上吃辣条的小屁孩。,Group_Child
他有点小叛逆，总想和父母对着干。,Group_Child
这是叛逆少女的一天。,Group_Child
世界上怎么会卖这种神经病东西，熊孩子看到了不得乐死？,Group_Child
我什么时候才能不跟这些小屁孩生气啊？,Group_Child
我实在做不到对着一个打我的小屁孩笑脸相迎。,Group_Child
我的吸管被家里的熊孩子偷偷扔厕所里了，气死我了。,Group_Child
刚上班没多久的小屁孩都比你懂得多。,Group_Child
希望这个小屁孩别再气我了。,Group_Child
那几个小屁孩的手臂还没麻绳粗。,Group_Child
当年说教拉不回抑郁的弟弟，现在也挽不回叛逆的妹妹。,Group_Child
一碰到那个熊孩子弟弟，就每天吵架打架。,Group_Child
那个小屁孩撒了一天的泼。,Group_Child
你这个年纪的小屁孩，不吃苦谁吃苦！,Group_Child
那个睡觉被自己屁崩醒的小屁孩，真的把我笑死了。,Group_Child
那个前辈居然被一个小屁孩淘汰了。,Group_Child
他这才刚上初中就很叛逆，甚至要做-出过激举动。,Group_Child
和叛逆的少年过周末，如果早上没吵架就更好了。,Group_Child
他自己的孩子比较叛逆。,Group_Child
他确实是个臭小屁孩。,Group_Child
时间过得真快，我的记忆还停留在他们都是小屁孩的时期。,Group_Child
终于把那个乱按门铃的熊孩子抓住了，希望能给他一个深刻的教训。,Group_Child
他要面临重病的妻子和叛逆的儿子。,Group_Child
他就是个小屁孩，平常爱装中二，一到关键时刻话都说不利索。,Group_Child
他就是个幼儿园水平的幼稚小屁孩。,Group_Child
他才12岁就到叛逆期了吗？,Group_Child
未成年的小屁孩别老上网了，多学习去吧。,Group_Child
叛逆期的人真的会六亲不认啊。,Group_Child
楼下那个讨人厌的小屁孩又开始哭了。,Group_Child
他不戴眼镜的时候，就像隔壁的小屁孩。,Group_Child
你不该像叛逆期的孩子一样拼命胡闹。,Group_Child
从第三视角看，我真像个小屁孩。,Group_Child
给小屁孩上课前还得先查查他们的名字怎么读。,Group_Child
处于叛逆期的青少年一到晚上就老是爆发矛盾。,Group_Child
午休时总有熊孩子在外面敲敲打打，吵死了。,Group_Child
我受不了这个小屁孩了。,Group_Child
我妹妹完全就是个青春期叛逆少女，真想敲醒她。,Group_Child
我才不跟小屁孩置气。,Group_Child
给小屁孩上课，能被气个半死。,Group_Child
来图书馆还吵个不停的小屁孩，能不能滚回家去？,Group_Child
有个小屁孩踩了我的鞋，她妈看见了也不说一声。,Group_Child
再也不给小屁孩当家教了，跟当保姆似的，钱难赚，饭难吃。,Group_Child
那个还在吃奶的小屁孩一直乱叫。,Group_Child
他是个有中二病的小屁孩。,Group_Child
对网络上的小屁孩不必浪费口舌。,Group_Child
我最讨厌现实里那些没边界感只会闯祸的小屁孩。,Group_Child
他缺少书卷气，更像是早早辍学的叛逆学生。,Group_Child
我讨厌没有礼貌的小屁孩直呼我的名字！,Group_Child
他就像个小屁孩。,Group_Child
我居然被一个小屁孩降维打击了。,Group_Child
我不想再当小屁孩了，我想快点长大。,Group_Child
我快被一群小屁孩气死了！,Group_Child
迎面走来的是一群小屁孩方阵。,Group_Child
这里的中二小屁孩含量太高了，看得我头疼。,Group_Child
不知道是被哪个小屁孩顺走了。,Group_Child
大家不都还是小屁孩吗？怎么就悄悄结婚了呢？,Group_Child
小屁孩可是很记仇的。,Group_Child
我一半的时间都在躲避小屁孩。,Group_Child
我家的孩子怎么这么叛逆？,Group_Child
别再把这种傻逼小屁孩推送到我面前了。,Group_Child
这么高压的家庭，居然没让她变得叛逆。,Group_Child
老师要叫家长了，我对那个小屁孩说：“不要！”。,Group_Child
他对那个叛逆期的小少爷很是包容。,Group_Child
熊孩子活该被骂。,Group_Child
什么时候能设置小屁孩专车厢！,Group_Child
晚上那个小屁孩给我打电话，语气毫无波澜。,Group_Child
这两个人就像叛逆期的学生，你越是要拆散他们，他们越要在一起。,Group_Child
熊孩子能不能滚蛋啊？,Group_Child
你们都是群小屁孩，滚犊子吧！,Group_Child
那个小屁孩又去撞人，终于被大人呵斥了。,Group_Child
叛逆的少女离家出走了。,Group_Child
降噪耳机也挡不住小屁孩的哭喊声。,Group_Child
叛逆又不交作业的高中男生，基本都会抽烟。,Group_Child
我真想把那个小屁孩扔到学习小组里，让老师好好抽他一顿。,Group_Child
我真是服了这个小屁孩。,Group_Child
被小屁孩烦死的一天，真烦！,Group_Child
我真的讨厌这些小屁孩。,Group_Child
我到叛逆期了，别人越劝我，我越想走。,Group_Child
你这个小屁孩，谁跟你说要减肥的？,Group_Child
这个小屁孩怎么还没被接走？,Group_Child
他看起来跟个小屁孩似的。,Group_Child
我真的很讨厌小孩，特别是那种大中午又叫又闹的小屁孩！,Group_Child
我真受不了了，这会教坏小屁孩的。,Group_Child
我都三十多了，还要在网上跟十几岁的小屁孩吵架。,Group_Child
那个小屁孩居然告诉我三角形内角和是70度。,Group_Child
说话从不超过两句，那个小屁孩又在装酷了。,Group_Child
坐长途飞机最怕遇到爱哭的小屁孩。,Group_Child
一大早就被对面的小屁孩吵醒了。,Group_Child
那个小屁孩还是个校霸。,Group_Child
孩子在学习阶段不认真或很叛逆，家长就很煎熬。,Group_Child
对于叛逆期的弟弟，真是又爱又恨。,Group_Child
在大街上乱抽烟、到处尖叫的小屁孩就该被捅死。,Group_Child
叛逆的儿子和他那坏心眼的老母亲。,Group_Child
孩子叛逆，有什么办法，受着呗。,Group_Child
你们这些小屁孩什么时候才能明白，感情是感情？,Group_Child
现在的小屁孩说话能不能带点脑子？,Group_Child
一群没素质的人，自然教出来一群没素质的小屁孩。,Group_Child
你遇到的可能是个冥顽不灵的叛逆少年。,Group_Child
叛逆期的孩子真的太让我烦心了。,Group_Child
这部剧还在讲那个糟糕的父亲和叛逆的女儿的故事。,Group_Child
我真想揍那个大喊大叫的小屁孩。,Group_Child
戴上姐姐的生日帽，真是个臭美的小屁孩。,Group_Child
他虽然长大了，但骨子里依旧是个小屁孩。,Group_Child
三岁的小孩就开始叛逆了，你指东她偏往西。,Group_Child
我也是，跟一个小屁孩有什么好说的。,Group_Child
他家那个未成年的女儿正值叛逆期，每天都混在男人堆里。,Group_Child
不要再管那群小屁孩一天到晚的破事了。,Group_Child
我不知道是多无知的小屁孩，才能说出“太好了又能上网课了”这种话。,Group_Child
两个嬉皮笑脸的小屁孩居然管我叫阿姨。,Group_Child
能指望一个字都认不全的小屁孩有什么艺术启发吗？,Group_Child
那个警察的叛逆女儿，真是个废物。,Group_Child
是的，我又和小屁孩吵了一架。,Group_Child
别跟小屁孩一样玩过家家了。,Group_Child
那个小屁孩竟然被吓哭了。,Group_Child
那个内在叛逆的小姑娘终于爆发了。,Group_Child
我明天要离这个小屁孩远一点。,Group_Child
烦死了，这个小屁孩天天就知道拱火。,Group_Child
他感觉自己像个没断奶的小屁孩一样。,Group_Child
那个小屁孩都一米五了，坐公交还只投一块钱。,Group_Child
这个未成年人像个小屁孩。,Group_Child
小屁孩一进剧场就会吵闹，让人没法好好看演出。,Group_Child
少年时期的他性格鲜明，时而叛逆，时而文艺。,Group_Child
我很后悔，当时极度叛逆，把妈妈送来的早饭直接扔了。,Group_Child
把日记本-当记仇本，这是小屁孩才会干的事吧？,Group_Child
你们先别开始，我的搭档还在叛逆期呢。,Group_Child
那个小屁孩把我给看生气了。,Group_Child
那个小屁孩真是又臭屁又讨厌。,Group_Child
他的叛逆期是从一岁就开始了吗？,Group_Child
小儿子到了叛逆期，一说他就哭，还会顶嘴，根本说不通道理。,Group_Child
那个小屁孩就爱用小天才手表打电话。,Group_Child
你个二年级的小屁孩，嫌什么幼稚！,Group_Child
一个八岁的女孩真的有叛逆期吗？,Group_Child
谁爱和十几岁的小屁孩掰扯啊？,Group_Child
对于青春期叛逆的女儿，应该怎么办？,Group_Child
小屁孩平时早起困难，一到周末就起得特别早，真让人无语。,Group_Child
他牙都没长全，就开始叛逆了。,Group_Child
在飞机上被小屁孩吵了一路。,Group_Child
毛都没长齐的小屁孩就别瞎上网了，好吗？,Group_Child
小屁孩真的欠收拾。,Group_Child
他以前挺黏人的，现在是到叛逆期了吗？,Group_Child
我要被这些小屁孩笑死了。,Group_Child
他看起来像个偷穿大人衣服的小屁孩。,Group_Child
幼儿园的小屁孩哪里认识这个字？,Group_Child
