content,group,seg_tokens,pos_tags,word_pos_pairs,clean_tokens
更累的是，这个离不开人的病人还处于叛逆期。,Group_Child,更累 的 是 ， 这个 离不开 人 的 病人 还 处于 叛逆 期 。,v uj v x r v n uj n d v v n x,更累/v 的/uj 是/v ，/x 这个/r 离不开/v 人/n 的/uj 病人/n 还/d 处于/v 叛逆/v 期/n 。/x,"['更累', '离不开', '病人', '处于', '叛逆']"
他的要求就像一个叛逆少年，非要逃课去上网。,Group_Child,他 的 要求 就 像 一个 叛逆 少年 ， 非 要 逃课 去 上网 。,r uj v d v m v m x h v v v v x,他/r 的/uj 要求/v 就/d 像/v 一个/m 叛逆/v 少年/m ，/x 非/h 要/v 逃课/v 去/v 上网/v 。/x,"['叛逆', '少年', '逃课', '上网']"
我真的深刻体会到，为什么坐车不能遇到小屁孩。,Group_Child,我 真的 深刻 体会 到 ， 为什么 坐车 不能 遇到 小屁孩 。,r d d n v x r v v v nr x,我/r 真的/d 深刻/d 体会/n 到/v ，/x 为什么/r 坐车/v 不能/v 遇到/v 小屁孩/nr 。/x,"['深刻', '体会', '坐车']"
这话也就这小屁孩说得出来。,Group_Child,这话 也 就 这 小屁孩 说 得 出来 。,r d d r nr v ud v x,这话/r 也/d 就/d 这/r 小屁孩/nr 说/v 得/ud 出来/v 。/x,['这话']
楼上又开始吵架了，我能清晰地感知到中年父亲的无奈与叛逆期女儿的不服。,Group_Child,楼上 又 开始 吵架 了 ， 我 能 清晰 地 感知 到 中年 父亲 的 无奈 与 叛逆 期 女儿 的 不服 。,s d v v ul x r v a uv v v t n uj d p v n n uj v x,楼上/s 又/d 开始/v 吵架/v 了/ul ，/x 我/r 能/v 清晰/a 地/uv 感知/v 到/v 中年/t 父亲/n 的/uj 无奈/d 与/p 叛逆/v 期/n 女儿/n 的/uj 不服/v 。/x,"['楼上', '吵架', '清晰', '感知', '中年', '父亲', '无奈', '叛逆', '不服']"
一群小屁孩叫着莫名其妙的黑称，真吓人。,Group_Child,一群 小屁孩 叫 着 莫名其妙 的 黑称 ， 真 吓人 。,m nr v uz i uj n x d v x,一群/m 小屁孩/nr 叫/v 着/uz 莫名其妙/i 的/uj 黑称/n ，/x 真/d 吓人/v 。/x,"['莫名其妙', '黑称', '吓人']"
12块钱对于一个初一的小屁孩来说是笔巨款。,Group_Child,12 块钱 对于 一个 初一 的 小屁孩 来说 是 笔 巨款 。,m n p m t uj nr u v q n x,12/m 块钱/n 对于/p 一个/m 初一/t 的/uj 小屁孩/nr 来说/u 是/v 笔/q 巨款/n 。/x,"['12', '块钱', '初一', '来说', '巨款']"
早上7点就起床？真是个肉嘟嘟的小屁孩。,Group_Child,早上 7 点 就 起床 ？ 真是 个 肉 嘟嘟 的 小屁孩 。,t m m d v x d m n o uj nr x,早上/t 7/m 点/m 就/d 起床/v ？/x 真是/d 个/m 肉/n 嘟嘟/o 的/uj 小屁孩/nr 。/x,"['早上', '起床', '嘟嘟']"
让我一个没感情经验的人去处理一群小屁孩的感情问题，真是疯了！,Group_Child,让 我 一个 没 感情 经验 的 人 去 处理 一群 小屁孩 的 感情 问题 ， 真是 疯 了 ！,v r m v n n uj n v v m nr uj n n x d v ul x,让/v 我/r 一个/m 没/v 感情/n 经验/n 的/uj 人/n 去/v 处理/v 一群/m 小屁孩/nr 的/uj 感情/n 问题/n ，/x 真是/d 疯/v 了/ul ！/x,"['感情', '经验', '感情']"
同样是三岁的小屁孩，为什么一个成了引导者，一个成了弱智？,Group_Child,同样 是 三岁 的 小屁孩 ， 为什么 一个 成 了 引导者 ， 一个 成 了 弱智 ？,d v m uj nr x r m v ul n x m v ul n x,同样/d 是/v 三岁/m 的/uj 小屁孩/nr ，/x 为什么/r 一个/m 成/v 了/ul 引导者/n ，/x 一个/m 成/v 了/ul 弱智/n ？/x,"['三岁', '引导者', '弱智']"
他进入了叛逆阶段，我发现他开始偶尔不洗澡了。,Group_Child,他 进入 了 叛逆 阶段 ， 我 发现 他 开始 偶尔 不 洗澡 了 。,r v ul v n x r v r v d d v ul x,他/r 进入/v 了/ul 叛逆/v 阶段/n ，/x 我/r 发现/v 他/r 开始/v 偶尔/d 不/d 洗澡/v 了/ul 。/x,"['叛逆', '阶段', '发现', '偶尔', '洗澡']"
你个小屁孩再乱动我东西试试？几千块的吊坠说拿就拿。,Group_Child,你个 小屁孩 再 乱动 我 东西 试试 ？ 几千块 的 吊坠 说 拿 就 拿 。,r nr d v r ns vn x m uj n v v d v x,你个/r 小屁孩/nr 再/d 乱动/v 我/r 东西/ns 试试/vn ？/x 几千块/m 的/uj 吊坠/n 说/v 拿/v 就/d 拿/v 。/x,"['你个', '乱动', '试试', '几千块', '吊坠']"
刷到一群又黑又丑的小屁孩，我有点受不了了。,Group_Child,刷到 一群 又 黑 又 丑 的 小屁孩 ， 我 有点 受不了 了 。,v m d a d a uj nr x r n l ul x,刷到/v 一群/m 又/d 黑/a 又/d 丑/a 的/uj 小屁孩/nr ，/x 我/r 有点/n 受不了/l 了/ul 。/x,"['刷到', '受不了']"
未成年的小屁孩玩游戏不讲逻辑，就知道抱团。,Group_Child,未成年 的 小屁孩 玩游戏 不 讲 逻辑 ， 就 知道 抱团 。,l uj nr n d v n x d v n x,未成年/l 的/uj 小屁孩/nr 玩游戏/n 不/d 讲/v 逻辑/n ，/x 就/d 知道/v 抱团/n 。/x,"['未成年', '玩游戏', '逻辑', '抱团']"
你上初中了，我怕你叛逆。,Group_Child,你 上 初中 了 ， 我 怕 你 叛逆 。,r v f ul x r v r v x,你/r 上/v 初中/f 了/ul ，/x 我/r 怕/v 你/r 叛逆/v 。/x,"['初中', '叛逆']"
他总给我一种小屁孩装大人的感觉。,Group_Child,他 总 给 我 一种 小屁孩 装 大人 的 感觉 。,r b p r m nr v n uj n x,他/r 总/b 给/p 我/r 一种/m 小屁孩/nr 装/v 大人/n 的/uj 感觉/n 。/x,"['一种', '大人']"
小屁孩，我要把你揍哭！,Group_Child,小屁孩 ， 我 要 把 你 揍 哭 ！,nr x r v p r v v x,小屁孩/nr ，/x 我/r 要/v 把/p 你/r 揍/v 哭/v ！/x,[]
一个刚满十八岁的小屁孩，还敢参加这个？,Group_Child,一个 刚满 十八岁 的 小屁孩 ， 还 敢 参加 这个 ？,m a m uj nr x d v v r x,一个/m 刚满/a 十八岁/m 的/uj 小屁孩/nr ，/x 还/d 敢/v 参加/v 这个/r ？/x,"['刚满', '十八岁', '参加']"
一大早，一个小屁孩就跑来叫醒我给他拆玩具。,Group_Child,一大早 ， 一个 小屁孩 就 跑 来 叫醒 我 给 他 拆 玩具 。,l x m nr d v v v r p r v n x,一大早/l ，/x 一个/m 小屁孩/nr 就/d 跑/v 来/v 叫醒/v 我/r 给/p 他/r 拆/v 玩具/n 。/x,"['一大早', '叫醒', '玩具']"
他只是一个小屁孩，什么都不懂。,Group_Child,他 只是 一个 小屁孩 ， 什么 都 不 懂 。,r c m nr x r d d v x,他/r 只是/c 一个/m 小屁孩/nr ，/x 什么/r 都/d 不/d 懂/v 。/x,[]
我只想看他，不想看那些小屁孩。,Group_Child,我 只 想 看 他 ， 不想 看 那些 小屁孩 。,r d v v r x v v r nr x,我/r 只/d 想/v 看/v 他/r ，/x 不想/v 看/v 那些/r 小屁孩/nr 。/x,[]
我的时间就是被你们这些该死的小屁孩浪费的。,Group_Child,我 的 时间 就是 被 你们 这些 该死 的 小屁孩 浪费 的 。,r uj n d p r r v uj nr n uj x,我/r 的/uj 时间/n 就是/d 被/p 你们/r 这些/r 该死/v 的/uj 小屁孩/nr 浪费/n 的/uj 。/x,"['时间', '该死', '浪费']"
青春期的孩子那不叫叛逆，那叫有主见。,Group_Child,青春期 的 孩子 那 不 叫 叛逆 ， 那 叫 有 主见 。,t uj n r d v v x r v v n x,青春期/t 的/uj 孩子/n 那/r 不/d 叫/v 叛逆/v ，/x 那/r 叫/v 有/v 主见/n 。/x,"['青春期', '叛逆', '主见']"
叛逆期真的很难熬。,Group_Child,叛逆 期 真的 很 难熬 。,v n d zg a x,叛逆/v 期/n 真的/d 很/zg 难熬/a 。/x,"['叛逆', '难熬']"
你个小屁孩装什么装？,Group_Child,你个 小屁孩 装 什么 装 ？,r nr v r v x,你个/r 小屁孩/nr 装/v 什么/r 装/v ？/x,['你个']
只有我还是个穷小屁孩。,Group_Child,只有 我 还是 个 穷 小屁孩 。,c r c m a nr x,只有/c 我/r 还是/c 个/m 穷/a 小屁孩/nr 。/x,[]
我不信这个小屁孩还有两个月就要成年了。,Group_Child,我 不信 这个 小屁孩 还有 两个 月 就要 成年 了 。,r v r nr v m m d t ul x,我/r 不信/v 这个/r 小屁孩/nr 还有/v 两个/m 月/m 就要/d 成年/t 了/ul 。/x,"['不信', '就要', '成年']"
一个小屁孩到办公室玩，把同事的招财猫摔坏了。,Group_Child,一个 小屁孩 到 办公室 玩 ， 把 同事 的 招财猫 摔坏 了 。,m nr v n v x p n uj nr v ul x,一个/m 小屁孩/nr 到/v 办公室/n 玩/v ，/x 把/p 同事/n 的/uj 招财猫/nr 摔坏/v 了/ul 。/x,"['办公室', '同事', '招财猫', '摔坏']"
那个小屁孩正在角落里玩旋转木马。,Group_Child,那个 小屁孩 正在 角落里 玩 旋转 木马 。,r nr t n v v n x,那个/r 小屁孩/nr 正在/t 角落里/n 玩/v 旋转/v 木马/n 。/x,"['角落里', '旋转', '木马']"
那个孩子长大后就叛逆了。,Group_Child,那个 孩子 长大 后 就 叛逆 了 。,r n ns f d v ul x,那个/r 孩子/n 长大/ns 后/f 就/d 叛逆/v 了/ul 。/x,"['长大', '叛逆']"
他就是个硬要唱歌的小屁孩，透着一股虚荣和中二的味道。,Group_Child,他 就是 个 硬 要 唱歌 的 小屁孩 ， 透 着 一股 虚荣 和 中二 的 味道 。,r d m a v n uj nr x v uz m a c t uj n x,他/r 就是/d 个/m 硬/a 要/v 唱歌/n 的/uj 小屁孩/nr ，/x 透/v 着/uz 一股/m 虚荣/a 和/c 中二/t 的/uj 味道/n 。/x,"['唱歌', '一股', '虚荣', '中二', '味道']"
我绝不会原谅那些深夜还在大声喧哗的小屁孩。,Group_Child,我 绝不会 原谅 那些 深夜 还 在 大声 喧哗 的 小屁孩 。,r l nr r t d p m v uj nr x,我/r 绝不会/l 原谅/nr 那些/r 深夜/t 还/d 在/p 大声/m 喧哗/v 的/uj 小屁孩/nr 。/x,"['绝不会', '原谅', '深夜', '大声', '喧哗']"
一个才两个多月的小屁孩，怎么这么有心眼，出了门就不想回家？,Group_Child,一个 才 两个 多月 的 小屁孩 ， 怎么 这么 有 心眼 ， 出了门 就 不想 回家 ？,m d m m uj nr x r r v n x i d v n x,一个/m 才/d 两个/m 多月/m 的/uj 小屁孩/nr ，/x 怎么/r 这么/r 有/v 心眼/n ，/x 出了门/i 就/d 不想/v 回家/n ？/x,"['多月', '心眼', '出了门', '回家']"
吾儿叛逆，伤透吾心。,Group_Child,吾 儿 叛逆 ， 伤透 吾 心 。,r n v x v r s x,吾/r 儿/n 叛逆/v ，/x 伤透/v 吾/r 心/s 。/x,"['叛逆', '伤透']"
威胁一个小屁孩，你可真有本领啊！,Group_Child,威胁 一个 小屁孩 ， 你 可真有 本领 啊 ！,vn m nr x r l n zg x,威胁/vn 一个/m 小屁孩/nr ，/x 你/r 可真有/l 本领/n 啊/zg ！/x,"['威胁', '可真有', '本领']"
他小时候真的就是一个小屁孩。,Group_Child,他 小时候 真的 就是 一个 小屁孩 。,r n d d m nr x,他/r 小时候/n 真的/d 就是/d 一个/m 小屁孩/nr 。/x,['小时候']
这小屁孩真的是快气死我了！,Group_Child,这 小屁孩 真的 是 快 气死我了 ！,r nr d v a l x,这/r 小屁孩/nr 真的/d 是/v 快/a 气死我了/l ！/x,['气死我了']
为什么我每次坐高铁，后面都会有小屁孩？,Group_Child,为什么 我 每次 坐 高铁 ， 后面 都 会 有 小屁孩 ？,r r r v n x f d v v nr x,为什么/r 我/r 每次/r 坐/v 高铁/n ，/x 后面/f 都/d 会/v 有/v 小屁孩/nr ？/x,"['每次', '高铁']"
小屁孩能不能走远点，很讨厌啊！,Group_Child,小屁孩 能 不能 走 远 点 ， 很 讨厌 啊 ！,nr v v v a q x zg v zg x,小屁孩/nr 能/v 不能/v 走/v 远/a 点/q ，/x 很/zg 讨厌/v 啊/zg ！/x,['讨厌']
这帮小屁孩，真是欠揍。,Group_Child,这帮 小屁孩 ， 真是 欠揍 。,mq nr x d v x,这帮/mq 小屁孩/nr ，/x 真是/d 欠揍/v 。/x,"['这帮', '欠揍']"
婚姻破裂，孩子叛逆，他的健康也受到了损害。,Group_Child,婚姻 破裂 ， 孩子 叛逆 ， 他 的 健康 也 受到 了 损害 。,n v x n v x r uj a d v ul v x,婚姻/n 破裂/v ，/x 孩子/n 叛逆/v ，/x 他/r 的/uj 健康/a 也/d 受到/v 了/ul 损害/v 。/x,"['婚姻', '破裂', '叛逆', '健康', '损害']"
我的手机内存快被小屁孩的照片占满了。,Group_Child,我 的 手机 内存 快 被 小屁孩 的 照片 占满 了 。,r uj n n a p nr uj n v ul x,我/r 的/uj 手机/n 内存/n 快/a 被/p 小屁孩/nr 的/uj 照片/n 占满/v 了/ul 。/x,"['手机', '内存', '照片', '占满']"
这孩子太叛逆了，真不好管。,Group_Child,这 孩子 太 叛逆 了 ， 真 不好 管 。,r n d v ul x d d vn x,这/r 孩子/n 太/d 叛逆/v 了/ul ，/x 真/d 不好/d 管/vn 。/x,"['叛逆', '不好']"
我再也不想和小屁孩聊天了，神烦！,Group_Child,我 再也 不想 和 小屁孩 聊天 了 ， 神烦 ！,r d v c nr nz ul x a x,我/r 再也/d 不想/v 和/c 小屁孩/nr 聊天/nz 了/ul ，/x 神烦/a ！/x,"['再也', '聊天', '神烦']"
感觉他还是那个没成年的小屁孩。,Group_Child,感觉 他 还是 那个 没 成年 的 小屁孩 。,n r c r v t uj nr x,感觉/n 他/r 还是/c 那个/r 没/v 成年/t 的/uj 小屁孩/nr 。/x,['成年']
大的孩子到了叛逆期，动不动就发脾气。,Group_Child,大 的 孩子 到 了 叛逆 期 ， 动不动 就 发脾气 。,a uj n v ul v n x l d v x,大/a 的/uj 孩子/n 到/v 了/ul 叛逆/v 期/n ，/x 动不动/l 就/d 发脾气/v 。/x,"['叛逆', '动不动', '发脾气']"
那个小屁孩真让人恶心，他后来是怎么死的？,Group_Child,那个 小屁孩 真让人 恶心 ， 他 后来 是 怎么 死 的 ？,r nr n n x r t v r v uj x,那个/r 小屁孩/nr 真让人/n 恶心/n ，/x 他/r 后来/t 是/v 怎么/r 死/v 的/uj ？/x,"['真让人', '恶心']"
背后打电话威胁人，真是小屁孩干的事。,Group_Child,背后 打电话 威胁 人 ， 真是 小屁孩 干的事 。,f l vn n x d nr n x,背后/f 打电话/l 威胁/vn 人/n ，/x 真是/d 小屁孩/nr 干的事/n 。/x,"['背后', '打电话', '威胁', '干的事']"
你再欺负小屁孩，就不让你玩手机了。,Group_Child,你 再 欺负 小屁孩 ， 就 不 让你玩 手机 了 。,r d v nr x d d n n ul x,你/r 再/d 欺负/v 小屁孩/nr ，/x 就/d 不/d 让你玩/n 手机/n 了/ul 。/x,"['欺负', '让你玩', '手机']"
小屁孩真烦人。,Group_Child,小屁孩 真 烦人 。,nr d a x,小屁孩/nr 真/d 烦人/a 。/x,['烦人']
他从一个只会催更的小屁孩，变成了一个只会催更的打工人。,Group_Child,他 从 一个 只 会 催更 的 小屁孩 ， 变成 了 一个 只 会 催更 的 打 工人 。,r p m d v v uj nr x v ul m d v v uj v n x,他/r 从/p 一个/m 只/d 会/v 催更/v 的/uj 小屁孩/nr ，/x 变成/v 了/ul 一个/m 只/d 会/v 催更/v 的/uj 打/v 工人/n 。/x,"['催更', '催更', '工人']"
这个小屁孩又来怼我，说我没他有生活经验。,Group_Child,这个 小屁孩 又 来 怼 我 ， 说 我 没 他 有 生活 经验 。,r nr d v g r x v r d r v vn n x,这个/r 小屁孩/nr 又/d 来/v 怼/g 我/r ，/x 说/v 我/r 没/d 他/r 有/v 生活/vn 经验/n 。/x,"['生活', '经验']"
我愉悦的心情瞬间被那个小屁孩的成绩击得粉碎。,Group_Child,我 愉悦 的 心情 瞬间 被 那个 小屁孩 的 成绩 击得 粉碎 。,r a uj n t p r nr uj n v v x,我/r 愉悦/a 的/uj 心情/n 瞬间/t 被/p 那个/r 小屁孩/nr 的/uj 成绩/n 击得/v 粉碎/v 。/x,"['愉悦', '心情', '瞬间', '成绩', '击得', '粉碎']"
我什么时候才能长大啊？不想再当小屁孩了。,Group_Child,我 什么 时候 才能 长大 啊 ？ 不想 再当 小屁孩 了 。,r r n v ns zg x v d nr ul x,我/r 什么/r 时候/n 才能/v 长大/ns 啊/zg ？/x 不想/v 再当/d 小屁孩/nr 了/ul 。/x,"['长大', '再当']"
你个小屁孩，星期天睡什么懒觉！,Group_Child,你个 小屁孩 ， 星期天 睡 什么 懒觉 ！,r nr x t v r n x,你个/r 小屁孩/nr ，/x 星期天/t 睡/v 什么/r 懒觉/n ！/x,"['你个', '星期天', '懒觉']"
更年期遇上叛逆期，我真的不想和家里有任何联系，太烦了。,Group_Child,更年期 遇上 叛逆 期 ， 我 真的 不想 和 家里 有 任何 联系 ， 太烦 了 。,t v v n x r d v c s v r n x a ul x,更年期/t 遇上/v 叛逆/v 期/n ，/x 我/r 真的/d 不想/v 和/c 家里/s 有/v 任何/r 联系/n ，/x 太烦/a 了/ul 。/x,"['更年期', '遇上', '叛逆', '家里', '太烦']"
楼上的小屁孩怎么又开始哭了？,Group_Child,楼上 的 小屁孩 怎么 又 开始 哭 了 ？,s uj nr r d v v ul x,楼上/s 的/uj 小屁孩/nr 怎么/r 又/d 开始/v 哭/v 了/ul ？/x,['楼上']
看到在地铁里跳钢管舞的小屁孩，就想一脚踹过去。,Group_Child,看到 在 地铁 里 跳 钢管舞 的 小屁孩 ， 就 想 一脚 踹 过去 。,v p n f v n uj nr x d v mq v t x,看到/v 在/p 地铁/n 里/f 跳/v 钢管舞/n 的/uj 小屁孩/nr ，/x 就/d 想/v 一脚/mq 踹/v 过去/t 。/x,"['地铁', '钢管舞', '一脚']"
车上的小屁孩大哭大叫，吵得我脑仁疼。,Group_Child,车上 的 小屁孩 大哭 大叫 ， 吵得 我 脑仁 疼 。,s uj nr v v x v r n n x,车上/s 的/uj 小屁孩/nr 大哭/v 大叫/v ，/x 吵得/v 我/r 脑仁/n 疼/n 。/x,"['车上', '大哭', '大叫', '吵得', '脑仁']"
什么青春期叛逆？完全就是教育的问题！,Group_Child,什么 青春期 叛逆 ？ 完全 就是 教育 的 问题 ！,r t v x ad d vn uj n x,什么/r 青春期/t 叛逆/v ？/x 完全/ad 就是/d 教育/vn 的/uj 问题/n ！/x,"['青春期', '叛逆', '教育']"
当初我还是个没谈过恋爱的小屁-孩。,Group_Child,当初 我 还是 个 没谈 过 恋爱 的 小 屁 - 孩 。,t r c m v ug v uj a n x n x,当初/t 我/r 还是/c 个/m 没谈/v 过/ug 恋爱/v 的/uj 小/a 屁/n -/x 孩/n 。/x,"['当初', '没谈', '恋爱']"
花瓣全被小屁孩摘光了，连土都给刨了出来。,Group_Child,花瓣 全 被 小屁孩 摘光 了 ， 连土 都 给 刨 了 出来 。,n a p nr v ul x n d p v ul v x,花瓣/n 全/a 被/p 小屁孩/nr 摘光/v 了/ul ，/x 连土/n 都/d 给/p 刨/v 了/ul 出来/v 。/x,"['花瓣', '摘光', '连土']"
回家还得面对2岁叛逆的孩子，他不停地哼哼唧唧。,Group_Child,回家 还 得 面对 2 岁 叛逆 的 孩子 ， 他 不停 地 哼哼唧唧 。,n d ud v m m v uj n x r d uv z x,回家/n 还/d 得/ud 面对/v 2/m 岁/m 叛逆/v 的/uj 孩子/n ，/x 他/r 不停/d 地/uv 哼哼唧唧/z 。/x,"['回家', '面对', '叛逆', '不停', '哼哼唧唧']"
我之前还嫌弃过他是小屁孩的形象。,Group_Child,我 之前 还 嫌弃 过 他 是 小屁孩 的 形象 。,r f d v ug r v nr uj n x,我/r 之前/f 还/d 嫌弃/v 过/ug 他/r 是/v 小屁孩/nr 的/uj 形象/n 。/x,"['嫌弃', '形象']"
要处理青春期叛逆问题，高年级的老师真不好当。,Group_Child,要 处理 青春期 叛逆 问题 ， 高年级 的 老师 真 不好 当 。,v v t v n x b uj n d d t x,要/v 处理/v 青春期/t 叛逆/v 问题/n ，/x 高年级/b 的/uj 老师/n 真/d 不好/d 当/t 。/x,"['青春期', '叛逆', '高年级', '老师', '不好']"
孩子的叛逆期真的让我很难熬。,Group_Child,孩子 的 叛逆 期 真的 让 我 很 难熬 。,n uj v n d v r d a x,孩子/n 的/uj 叛逆/v 期/n 真的/d 让/v 我/r 很/d 难熬/a 。/x,"['叛逆', '难熬']"
想谈恋爱”这种话只会从你这种小屁孩嘴里说出来。,Group_Child,想 谈恋爱 ” 这种 话 只 会 从 你 这种 小屁孩 嘴里 说 出来 。,v v x r n d v p r r nr s v v x,想/v 谈恋爱/v ”/x 这种/r 话/n 只/d 会/v 从/p 你/r 这种/r 小屁孩/nr 嘴里/s 说/v 出来/v 。/x,"['谈恋爱', '嘴里']"
那两个小屁孩都不在我的考虑范围之内。,Group_Child,那 两个 小屁孩 都 不 在 我 的 考虑 范围 之内 。,r m nr d d p r uj v n f x,那/r 两个/m 小屁孩/nr 都/d 不/d 在/p 我/r 的/uj 考虑/v 范围/n 之内/f 。/x,['之内']
他的青春期到了吗？怎么这么叛逆？,Group_Child,他 的 青春期 到 了 吗 ？ 怎么 这么 叛逆 ？,r uj t v ul y x r r v x,他/r 的/uj 青春期/t 到/v 了/ul 吗/y ？/x 怎么/r 这么/r 叛逆/v ？/x,"['青春期', '叛逆']"
小屁孩这么小，怎么就知道叫妈妈了？,Group_Child,小屁孩 这么 小 ， 怎么 就 知道 叫 妈妈 了 ？,nr r a x r d v v n ul x,小屁孩/nr 这么/r 小/a ，/x 怎么/r 就/d 知道/v 叫/v 妈妈/n 了/ul ？/x,['妈妈']
